"REF_DATE","GEO","DGUID","Tenure including social and affordable housing","Housing suitability and dwelling condition","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada (provinces only)","2021A000011124","Renter","Total, dwelling condition","Number of households","Number","223","units","0","v1594709429","1.3.4.1","4594400","","","","0"
"2021","Canada (provinces only)","2021A000011124","Renter","Total, dwelling condition","Number of households","Number","223","units","0","v1594709429","1.3.4.1","4852800","","","","0"
"2022","Canada (provinces only)","2021A000011124","Renter","Total, dwelling condition","Number of households","Number","223","units","0","v1594709429","1.3.4.1","5345800","","","","0"
"2018","Canada (provinces only)","2021A000011124","Renter","Total, dwelling condition","Percentage of households","Percent","239","units","0","v1594709450","1.3.4.4","100.0","","","","1"
"2021","Canada (provinces only)","2021A000011124","Renter","Total, dwelling condition","Percentage of households","Percent","239","units","0","v1594709450","1.3.4.4","100.0","","","","1"
"2022","Canada (provinces only)","2021A000011124","Renter","Total, dwelling condition","Percentage of households","Percent","239","units","0","v1594709450","1.3.4.4","100.0","","","","1"
"2018","Canada (provinces only)","2021A000011124","Renter","Regular maintenance needed","Number of households","Number","223","units","0","v1594709430","1.3.5.1","3090300","","","","0"
"2021","Canada (provinces only)","2021A000011124","Renter","Regular maintenance needed","Number of households","Number","223","units","0","v1594709430","1.3.5.1","3273300","","","","0"
"2022","Canada (provinces only)","2021A000011124","Renter","Regular maintenance needed","Number of households","Number","223","units","0","v1594709430","1.3.5.1","3567100","","","","0"
"2018","Canada (provinces only)","2021A000011124","Renter","Regular maintenance needed","Percentage of households","Percent","239","units","0","v1594709451","1.3.5.4","67.0","","","","1"
"2021","Canada (provinces only)","2021A000011124","Renter","Regular maintenance needed","Percentage of households","Percent","239","units","0","v1594709451","1.3.5.4","67.0","","","","1"
"2022","Canada (provinces only)","2021A000011124","Renter","Regular maintenance needed","Percentage of households","Percent","239","units","0","v1594709451","1.3.5.4","67.0","","","","1"
"2018","Canada (provinces only)","2021A000011124","Renter","Minor repairs needed","Number of households","Number","223","units","0","v1594709431","1.3.6.1","1114800","","","","0"
"2021","Canada (provinces only)","2021A000011124","Renter","Minor repairs needed","Number of households","Number","223","units","0","v1594709431","1.3.6.1","1129400","","","","0"
"2022","Canada (provinces only)","2021A000011124","Renter","Minor repairs needed","Number of households","Number","223","units","0","v1594709431","1.3.6.1","1316300","","","","0"
"2018","Canada (provinces only)","2021A000011124","Renter","Minor repairs needed","Percentage of households","Percent","239","units","0","v1594709452","1.3.6.4","24.0","","","","1"
"2021","Canada (provinces only)","2021A000011124","Renter","Minor repairs needed","Percentage of households","Percent","239","units","0","v1594709452","1.3.6.4","23.0","","","","1"
"2022","Canada (provinces only)","2021A000011124","Renter","Minor repairs needed","Percentage of households","Percent","239","units","0","v1594709452","1.3.6.4","25.0","","","","1"
"2018","Canada (provinces only)","2021A000011124","Renter","Major repairs needed","Number of households","Number","223","units","0","v1594709432","1.3.7.1","389300","","","","0"
"2021","Canada (provinces only)","2021A000011124","Renter","Major repairs needed","Number of households","Number","223","units","0","v1594709432","1.3.7.1","450100","","","","0"
"2022","Canada (provinces only)","2021A000011124","Renter","Major repairs needed","Number of households","Number","223","units","0","v1594709432","1.3.7.1","462300","","","","0"
"2018","Canada (provinces only)","2021A000011124","Renter","Major repairs needed","Percentage of households","Percent","239","units","0","v1594709453","1.3.7.4","8.5","","","","1"
"2021","Canada (provinces only)","2021A000011124","Renter","Major repairs needed","Percentage of households","Percent","239","units","0","v1594709453","1.3.7.4","9.3","","","","1"
"2022","Canada (provinces only)","2021A000011124","Renter","Major repairs needed","Percentage of households","Percent","239","units","0","v1594709453","1.3.7.4","8.6","","","","1"
"2018","Ontario","2021A000235","Total, tenure","Total, housing suitability","Number of households","Number","223","units","0","v1594712912","25.1.1.1","5496400","","","","0"
"2021","Ontario","2021A000235","Total, tenure","Total, housing suitability","Number of households","Number","223","units","0","v1594712912","25.1.1.1","5694300","","","","0"
"2022","Ontario","2021A000235","Total, tenure","Total, housing suitability","Number of households","Number","223","units","0","v1594712912","25.1.1.1","5836100","","","","0"
"2018","Ontario","2021A000235","Total, tenure","Total, housing suitability","Percentage of households","Percent","239","units","0","v1594712933","25.1.1.4","100.0","","","","1"
"2021","Ontario","2021A000235","Total, tenure","Total, housing suitability","Percentage of households","Percent","239","units","0","v1594712933","25.1.1.4","100.0","","","","1"
"2022","Ontario","2021A000235","Total, tenure","Total, housing suitability","Percentage of households","Percent","239","units","0","v1594712933","25.1.1.4","100.0","","","","1"
"2018","Ontario","2021A000235","Total, tenure","Suitable","Number of households","Number","223","units","0","v1594712913","25.1.2.1","5153900","","","","0"
"2021","Ontario","2021A000235","Total, tenure","Suitable","Number of households","Number","223","units","0","v1594712913","25.1.2.1","5331300","","","","0"
"2022","Ontario","2021A000235","Total, tenure","Suitable","Number of households","Number","223","units","0","v1594712913","25.1.2.1","5452800","","","","0"
"2018","Ontario","2021A000235","Total, tenure","Suitable","Percentage of households","Percent","239","units","0","v1594712934","25.1.2.4","93.8","","","","1"
