businessoperator,detailurl,streetnumber,street,totaloutstanding,totalunits,geom,geolocalarea,geo_point_2d,violation_rate,city
Plan A - 1168 Pendrell St Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1168&street=PENDRELL%20STREET,1168,PENDRELL STREET,1,28.0,"{""coordinates"":[-123.13200871,49.28190481],""type"":""Point""}",West End,"49.28190481, -123.13200871",0.035714284438775556,Vancouver
Maxim Enterprises Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1222&street=PENDRELL%20STREET,1222,PENDRELL STREET,3,42.0,"{""coordinates"":[-123.13298734,49.28253692],""type"":""Point""}",West End,"49.28253692, -123.13298734",0.0714285697278912,Vancouver
Elisabeth Yee,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1775&street=PENDRELL%20STREET,1775,PENDRELL STREET,7,19.0,"{""coordinates"":[-123.14008539,49.28788565],""type"":""Point""}",West End,"49.28788565, -123.14008539",0.36842103324099823,Vancouver
Maiway Investment Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=4195&street=PERRY%20STREET,4195,PERRY STREET,3,10.0,"{""coordinates"":[-123.07170484,49.24789936],""type"":""Point""}",Kensington-Cedar Cottage,"49.24789936, -123.07170484",0.299999970000003,Vancouver
West Broadway Centre Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2527&street=PINE%20STREET,2527,PINE STREET,4,51.0,"{""coordinates"":[-123.14426461,49.26337957],""type"":""Point""}",Fairview,"49.26337957, -123.14426461",0.0784313710111496,Vancouver
Richard Maurice Desilets (Richard Desilets),http://app.vancouver.ca/RPS_Net/Default.aspx?num=2456&street=POINT%20GREY%20ROAD,2456,POINT GREY ROAD,1,14.0,"{""coordinates"":[-123.16098993,49.27329351],""type"":""Point""}",Kitsilano,"49.27329351, -123.16098993",0.07142856632653098,Vancouver
The Bloom Group Community Services Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=329&street=POWELL%20STREET,329,POWELL STREET,1,36.0,"{""coordinates"":[-123.09696743,49.28339069],""type"":""Point""}",Strathcona,"49.28339069, -123.09696743",0.027777777006172864,Vancouver
Atira Women's Resource Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1516&street=POWELL%20STREET,1516,POWELL STREET,7,101.0,"{""coordinates"":[-123.07335302,49.28298396],""type"":""Point""}",Grandview-Woodland,"49.28298396, -123.07335302",0.06930693000686208,Vancouver
0921667 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=259&street=POWELL%20STREET,259,POWELL STREET,4,35.0,"{""coordinates"":[-123.09810511,49.28341114],""type"":""Point""}",Strathcona,"49.28341114, -123.09810511",0.11428571102040827,Vancouver
0781178 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=316&street=POWELL%20STREET,316,POWELL STREET,10,79.0,"{""coordinates"":[-123.09719122,49.28288165],""type"":""Point""}",Strathcona,"49.28288165, -123.09719122",0.12658227687870535,Vancouver
Cheng Hing Kai (Cheng Kai),http://app.vancouver.ca/RPS_Net/Default.aspx?num=326&street=POWELL%20STREET,326,POWELL STREET,2,39.0,"{""coordinates"":[-123.09698152,49.28287778],""type"":""Point""}",Strathcona,"49.28287778, -123.09698152",0.05128204996712693,Vancouver
Port Town Investments (Nominee) Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1895&street=POWELL%20STREET,1895,POWELL STREET,1,41.0,"{""coordinates"":[-123.06610861,49.28485538],""type"":""Point""}",Grandview-Woodland,"49.28485538, -123.06610861",0.024390243307555043,Vancouver
Raincity Housing and Support Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=220&street=PRINCESS%20AVENUE,220,PRINCESS AVENUE,5,147.0,"{""coordinates"":[-123.09089702,49.2827536],""type"":""Point""}",Strathcona,"49.2827536, -123.09089702",0.0340136052107918,Vancouver
PHS Community Services Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=111&street=PRINCESS%20AVENUE,111,PRINCESS AVENUE,3,139.0,"{""coordinates"":[-123.09179574,49.28368398],""type"":""Point""}",Strathcona,"49.28368398, -123.09179574",0.021582733657678176,Vancouver
Provincial Rental Housing Corporation,http://app.vancouver.ca/RPS_Net/Default.aspx?num=375&street=PRINCESS%20AVENUE,375,PRINCESS AVENUE,1,46.0,"{""coordinates"":[-123.09168097,49.28148382],""type"":""Point""}",Strathcona,"49.28148382, -123.09168097",0.02173912996219283,Vancouver
Trasolini & Eng Construction Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=854&street=RENFREW%20STREET,854,RENFREW STREET,1,5.0,"{""coordinates"":[-123.04364122,49.27692078],""type"":""Point""}",Hastings-Sunrise,"49.27692078, -123.04364122",0.199999960000008,Vancouver
Provincial Rental Housing Corporation,http://app.vancouver.ca/RPS_Net/Default.aspx?num=518&street=RICHARDS%20STREET,518,RICHARDS STREET,2,148.0,"{""coordinates"":[-123.1132548,49.28278806],""type"":""Point""}",Downtown,"49.28278806, -123.1132548",0.01351351342220599,Vancouver
Coast Foundation Society (1974),http://app.vancouver.ca/RPS_Net/Default.aspx?num=788&street=RICHARDS%20STREET,788,RICHARDS STREET,11,46.0,"{""coordinates"":[-123.11719556,49.28038982],""type"":""Point""}",Downtown,"49.28038982, -123.11719556",0.23913042958412112,Vancouver
Plan A - 440 Richards St Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=440&street=RICHARDS%20STREET,440,RICHARDS STREET,2,10.0,"{""coordinates"":[-123.11251685,49.28340384],""type"":""Point""}",Downtown,"49.28340384, -123.11251685",0.19999998000000202,Vancouver
Jack Eng,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1030&street=ROBSON%20STREET,1030,ROBSON STREET,1,8.0,"{""coordinates"":[-123.12378721,49.28354253],""type"":""Point""}",West End,"49.28354253, -123.12378721",0.12499998437500197,Vancouver
DVP Holdings Inc,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1208&street=SALSBURY%20DRIVE,1208,SALSBURY DRIVE,3,5.0,"{""coordinates"":[-123.0672662,49.273649],""type"":""Point""}",Grandview-Woodland,"49.273649, -123.0672662",0.599999880000024,Vancouver
629623 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1100&street=SALSBURY%20DRIVE,1100,SALSBURY DRIVE,7,12.0,"{""coordinates"":[-123.0671286,49.27456794],""type"":""Point""}",Grandview-Woodland,"49.27456794, -123.0671286",0.5833332847222263,Vancouver
Maicaic Enterprise Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8623&street=SELKIRK%20STREET,8623,SELKIRK STREET,1,31.0,"{""coordinates"":[-123.13369053,49.20821592],""type"":""Point""}",Marpole,"49.20821592, -123.13369053",0.032258063475546335,Vancouver
1122173 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8687&street=SELKIRK%20STREET,8687,SELKIRK STREET,1,10.0,"{""coordinates"":[-123.13358144,49.20723018],""type"":""Point""}",Marpole,"49.20723018, -123.13358144",0.09999999000000101,Vancouver
Fred West Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8741&street=SELKIRK%20STREET,8741,SELKIRK STREET,3,18.0,"{""coordinates"":[-123.13375327,49.20626299],""type"":""Point""}",Marpole,"49.20626299, -123.13375327",0.1666666574074079,Vancouver
bcIMC Realty Corporation,http://app.vancouver.ca/RPS_Net/Default.aspx?num=930&street=SEYMOUR%20STREET,930,SEYMOUR STREET,1,430.0,"{""coordinates"":[-123.12108475,49.27885485],""type"":""Point""}",Downtown,"49.27885485, -123.12108475",0.0023255813899405084,Vancouver
KINGVIC HOLDING LTD.,http://app.vancouver.ca/RPS_Net/Default.aspx?num=4580&street=SIDNEY%20STREET,4580,SIDNEY STREET,3,10.0,"{""coordinates"":[-123.06332183,49.24462656],""type"":""Point""}",Kensington-Cedar Cottage,"49.24462656, -123.06332183",0.299999970000003,Vancouver
CAPREIT APARTMENTS INC,http://app.vancouver.ca/RPS_Net/Default.aspx?num=4320&street=SLOCAN%20STREET,4320,SLOCAN STREET,4,41.0,"{""coordinates"":[-123.04919417,49.24594726],""type"":""Point""}",Renfrew-Collingwood,"49.24594726, -123.04919417",0.09756097323022017,Vancouver
Quong Holdings Ltd & Glenn W Quong,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2930&street=SPRUCE%20STREET,2930,SPRUCE STREET,2,16.0,"{""coordinates"":[-123.128899,49.25940472],""type"":""Point""}",Fairview,"49.25940472, -123.128899",0.12499999218750048,Vancouver
Hyung Kim & Ae Kim,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2502&street=ST.%20GEORGE%20STREET,2502,ST. GEORGE STREET,1,12.0,"{""coordinates"":[-123.09275874,49.26218927],""type"":""Point""}",Mount Pleasant,"49.26218927, -123.09275874",0.08333332638888948,Vancouver
PHS Community Services Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1005&street=STATION%20STREET,1005,STATION STREET,1,80.0,"{""coordinates"":[-123.09948683,49.2756775],""type"":""Point""}",Strathcona,"49.2756775, -123.09948683",0.012499999843750002,Vancouver
Jim Bonnis,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2490&street=STEPHENS%20STREET,2490,STEPHENS STREET,1,30.0,"{""coordinates"":[-123.16617064,49.26429057],""type"":""Point""}",Kitsilano,"49.26429057, -123.16617064",0.033333332222222255,Vancouver
Capitola (D&T) Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1209&street=THURLOW%20STREET,1209,THURLOW STREET,1,10.0,"{""coordinates"":[-123.13161848,49.28037703],""type"":""Point""}",West End,"49.28037703, -123.13161848",0.09999999000000101,Vancouver
1199248 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2266&street=TRINITY%20STREET,2266,TRINITY STREET,2,20.0,"{""coordinates"":[-123.05812743,49.28906098],""type"":""Point""}",Grandview-Woodland,"49.28906098, -123.05812743",0.09999999500000024,Vancouver
Maria Guerreiro & Custodio Guerreiro,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2124&street=TRIUMPH%20STREET,2124,TRIUMPH STREET,1,8.0,"{""coordinates"":[-123.06094177,49.28363988],""type"":""Point""}",Grandview-Woodland,"49.28363988, -123.06094177",0.12499998437500197,Vancouver
No 88 Taurus Ventures Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2155&street=TRIUMPH%20STREET,2155,TRIUMPH STREET,1,37.0,"{""coordinates"":[-123.06035033,49.28415652],""type"":""Point""}",Grandview-Woodland,"49.28415652, -123.06035033",0.027027026296566857,Vancouver
1220621 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1775&street=VENABLES%20STREET,1775,VENABLES STREET,3,12.0,"{""coordinates"":[-123.06898832,49.27690621],""type"":""Point""}",Grandview-Woodland,"49.27690621, -123.06898832",0.2499999791666684,Vancouver
Hawthorne Charitable Foundation,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1824&street=VENABLES%20STREET,1824,VENABLES STREET,1,7.0,"{""coordinates"":[-123.06696161,49.27636563],""type"":""Point""}",Grandview-Woodland,"49.27636563, -123.06696161",0.1428571224489825,Vancouver
Rosalee McRae & Brian Naphtali,http://app.vancouver.ca/RPS_Net/Default.aspx?num=910&street=VICTORIA%20DRIVE,910,VICTORIA DRIVE,1,6.0,"{""coordinates"":[-123.06533946,49.27643315],""type"":""Point""}",Grandview-Woodland,"49.27643315, -123.06533946",0.16666663888889352,Vancouver
John Engleman & Penelope Engleman,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1110&street=VICTORIA%20DRIVE,1110,VICTORIA DRIVE,1,9.0,"{""coordinates"":[-123.06529432,49.27458287],""type"":""Point""}",Grandview-Woodland,"49.27458287, -123.06529432",0.11111109876543349,Vancouver
1027787 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=675&street=VICTORIA%20DRIVE,675,VICTORIA DRIVE,2,7.0,"{""coordinates"":[-123.06590798,49.27866687],""type"":""Point""}",Grandview-Woodland,"49.27866687, -123.06590798",0.285714244897965,Vancouver
Daniel Chorney,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1186&street=VICTORIA%20DRIVE,1186,VICTORIA DRIVE,1,6.0,"{""coordinates"":[-123.06536145,49.27397432],""type"":""Point""}",Grandview-Woodland,"49.27397432, -123.06536145",0.16666663888889352,Vancouver
Thomas Chan,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2816&street=VICTORIA%20DRIVE,2816,VICTORIA DRIVE,2,5.0,"{""coordinates"":[-123.06556134,49.25920193],""type"":""Point""}",Kensington-Cedar Cottage,"49.25920193, -123.06556134",0.399999920000016,Vancouver
Dr Jamuna L Makhija Inc,http://app.vancouver.ca/RPS_Net/Default.aspx?num=4975&street=VICTORIA%20DRIVE,4975,VICTORIA DRIVE,4,6.0,"{""coordinates"":[-123.06576963,49.23950463],""type"":""Point""}",Kensington-Cedar Cottage,"49.23950463, -123.06576963",0.6666665555555741,Vancouver
King Day Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=5179&street=VICTORIA%20DRIVE,5179,VICTORIA DRIVE,1,5.0,"{""coordinates"":[-123.06580374,49.23775679],""type"":""Point""}",Kensington-Cedar Cottage,"49.23775679, -123.06580374",0.199999960000008,Vancouver
Jordan Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1615&street=VINE%20STREET,1615,VINE STREET,1,17.0,"{""coordinates"":[-123.15784708,49.27147712],""type"":""Point""}",Kitsilano,"49.27147712, -123.15784708",0.05882352595155729,Vancouver
Jean Matheson,http://app.vancouver.ca/RPS_Net/Default.aspx?num=5450&street=VINE%20STREET,5450,VINE STREET,3,69.0,"{""coordinates"":[-123.15946059,49.23683173],""type"":""Point""}",Arbutus Ridge,"49.23683173, -123.15946059",0.0434782602394455,Vancouver
Yee Sun (Sandy) Chow & Siu Hing (Cecilla) Chow,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1622&street=VINE%20STREET,1622,VINE STREET,2,8.0,"{""coordinates"":[-123.1571472,49.27146546],""type"":""Point""}",Kitsilano,"49.27146546, -123.1571472",0.24999996875000394,Vancouver
Ajmer Singh Siddoo (Ajmer Siddoo),http://app.vancouver.ca/RPS_Net/Default.aspx?num=1755&street=VINE%20STREET,1755,VINE STREET,2,11.0,"{""coordinates"":[-123.15768183,49.27021927],""type"":""Point""}",Kitsilano,"49.27021927, -123.15768183",0.1818181652892577,Vancouver
Jennifer Burke,http://app.vancouver.ca/RPS_Net/Default.aspx?num=3522&street=W%201ST%20AVENUE,3522,W 1ST AVENUE,2,5.0,"{""coordinates"":[-123.18223781,49.27098267],""type"":""Point""}",Kitsilano,"49.27098267, -123.18223781",0.399999920000016,Vancouver
Chun-Han Yen & Chih-Hsien Yen,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2505&street=W%202ND%20AVENUE,2505,W 2ND AVENUE,2,5.0,"{""coordinates"":[-123.16242454,49.27029318],""type"":""Point""}",Kitsilano,"49.27029318, -123.16242454",0.399999920000016,Vancouver
Lawrence Jakerov,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2997&street=W%202ND%20AVENUE,2997,W 2ND AVENUE,4,5.0,"{""coordinates"":[-123.17187467,49.27043991],""type"":""Point""}",Kitsilano,"49.27043991, -123.17187467",0.799999840000032,Vancouver
2072 W. 3rd Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2072&street=W%203RD%20AVENUE,2072,W 3RD AVENUE,1,10.0,"{""coordinates"":[-123.15224993,49.2687376],""type"":""Point""}",Kitsilano,"49.2687376, -123.15224993",0.09999999000000101,Vancouver
Zoron Investments Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2355&street=W%203RD%20AVENUE,2355,W 3RD AVENUE,1,10.0,"{""coordinates"":[-123.15877285,49.26935061],""type"":""Point""}",Kitsilano,"49.26935061, -123.15877285",0.09999999000000101,Vancouver
Susan Sally & Martin Sally,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2035&street=W%203RD%20AVENUE,2035,W 3RD AVENUE,2,13.0,"{""coordinates"":[-123.15109197,49.26922791],""type"":""Point""}",Kitsilano,"49.26922791, -123.15109197",0.15384614201183525,Vancouver
Milip Investment Co (Vancouver) Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2066&street=W%203RD%20AVENUE,2066,W 3RD AVENUE,1,13.0,"{""coordinates"":[-123.15204306,49.26873473],""type"":""Point""}",Kitsilano,"49.26873473, -123.15204306",0.07692307100591762,Vancouver
Tsoromocos Holdings Inc,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2165&street=W%204TH%20AVENUE,2165,W 4TH AVENUE,2,8.0,"{""coordinates"":[-123.15412456,49.26841012],""type"":""Point""}",Kitsilano,"49.26841012, -123.15412456",0.24999996875000394,Vancouver
Kit S Hung & Shuk Y Hung,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2754&street=W%204TH%20AVENUE,2754,W 4TH AVENUE,10,8.0,"{""coordinates"":[-123.16748536,49.2680833],""type"":""Point""}",Kitsilano,"49.2680833, -123.16748536",1.2499998437500197,Vancouver
HWP 2629 4th Avenue Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2629&street=W%204TH%20AVENUE,2629,W 4TH AVENUE,1,10.0,"{""coordinates"":[-123.16518154,49.26857421],""type"":""Point""}",Kitsilano,"49.26857421, -123.16518154",0.09999999000000101,Vancouver
Posthouse Properties Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=3670&street=W%205TH%20AVENUE,3670,W 5TH AVENUE,1,26.0,"{""coordinates"":[-123.18545425,49.26749058],""type"":""Point""}",Kitsilano,"49.26749058, -123.18545425",0.03846153698224858,Vancouver
Mike Kefalas & Anna Kefalas,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2545&street=W%205TH%20AVENUE,2545,W 5TH AVENUE,1,6.0,"{""coordinates"":[-123.16336613,49.26769571],""type"":""Point""}",Kitsilano,"49.26769571, -123.16336613",0.16666663888889352,Vancouver
Dr Michael K Ma & Annie Ma,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2154&street=W%205TH%20AVENUE,2154,W 5TH AVENUE,2,7.0,"{""coordinates"":[-123.15410231,49.26701093],""type"":""Point""}",Kitsilano,"49.26701093, -123.15410231",0.285714244897965,Vancouver
0734358 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2292&street=W%206TH%20AVENUE,2292,W 6TH AVENUE,3,6.0,"{""coordinates"":[-123.15737039,49.2663071],""type"":""Point""}",Kitsilano,"49.2663071, -123.15737039",0.49999991666668053,Vancouver
Anfrid Enterprises Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=14&street=W%206TH%20AVENUE,14,W 6TH AVENUE,1,5.0,"{""coordinates"":[-123.10529186,49.26531984],""type"":""Point""}",Mount Pleasant,"49.26531984, -123.10529186",0.199999960000008,Vancouver
Bartizan Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2235&street=W%206TH%20AVENUE,2235,W 6TH AVENUE,3,20.0,"{""coordinates"":[-123.15629227,49.26671517],""type"":""Point""}",Kitsilano,"49.26671517, -123.15629227",0.14999999250000037,Vancouver
Rio Lane Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2285&street=W%206TH%20AVENUE,2285,W 6TH AVENUE,1,20.0,"{""coordinates"":[-123.15713146,49.26672841],""type"":""Point""}",Kitsilano,"49.26672841, -123.15713146",0.04999999750000012,Vancouver
Pride and Joy Holdings Inc,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1017&street=W%207TH%20AVENUE,1017,W 7TH AVENUE,2,6.0,"{""coordinates"":[-123.1271788,49.26539752],""type"":""Point""}",Fairview,"49.26539752, -123.1271788",0.33333327777778704,Vancouver
West 7th Avenue Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2275&street=W%207TH%20AVENUE,2275,W 7TH AVENUE,1,5.0,"{""coordinates"":[-123.15695147,49.26588759],""type"":""Point""}",Kitsilano,"49.26588759, -123.15695147",0.199999960000008,Vancouver
Surefreeze Refrigeration & Air Condition Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=361&street=W%207TH%20AVENUE,361,W 7TH AVENUE,4,8.0,"{""coordinates"":[-123.11228477,49.26505724],""type"":""Point""}",Mount Pleasant,"49.26505724, -123.11228477",0.4999999375000079,Vancouver
1079798 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1455&street=W%208TH%20AVENUE,1455,W 8TH AVENUE,1,25.0,"{""coordinates"":[-123.13735634,49.2647434],""type"":""Point""}",Fairview,"49.2647434, -123.13735634",0.03999999840000006,Vancouver
1411528 B.C. LTD,http://app.vancouver.ca/RPS_Net/Default.aspx?num=821&street=W%2010TH%20AVENUE,821,W 10TH AVENUE,4,12.0,"{""coordinates"":[-123.12252534,49.26262438],""type"":""Point""}",Fairview,"49.26262438, -123.12252534",0.3333333055555579,Vancouver
Mattan Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=955&street=W%2010TH%20AVENUE,955,W 10TH AVENUE,5,23.0,"{""coordinates"":[-123.12531689,49.26266681],""type"":""Point""}",Fairview,"49.26266681, -123.12531689",0.21739129489603065,Vancouver
Unicam Developments Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1596&street=W%2010TH%20AVENUE,1596,W 10TH AVENUE,2,8.0,"{""coordinates"":[-123.14062608,49.26239197],""type"":""Point""}",Fairview,"49.26239197, -123.14062608",0.24999996875000394,Vancouver
Mason Investments Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=4660&street=W%2010TH%20AVENUE,4660,W 10TH AVENUE,1,73.0,"{""coordinates"":[-123.21444619,49.26362541],""type"":""Point""}",West Point Grey,"49.26362541, -123.21444619",0.013698629949333838,Vancouver
Blue Island Enterprises Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=110&street=W%2010TH%20AVENUE,110,W 10TH AVENUE,1,35.0,"{""coordinates"":[-123.1071394,49.26185047],""type"":""Point""}",Mount Pleasant,"49.26185047, -123.1071394",0.028571427755102068,Vancouver
Shaughnessy Lodge Inc,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1298&street=W%2010TH%20AVENUE,1298,W 10TH AVENUE,1,69.0,"{""coordinates"":[-123.13353434,49.26228235],""type"":""Point""}",Fairview,"49.26228235, -123.13353434",0.014492753413148502,Vancouver
Frederick Lee,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1435&street=W%2010TH%20AVENUE,1435,W 10TH AVENUE,1,8.0,"{""coordinates"":[-123.1370146,49.26286247],""type"":""Point""}",Fairview,"49.26286247, -123.1370146",0.12499998437500197,Vancouver
565169 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1137&street=W%2010TH%20AVENUE,1137,W 10TH AVENUE,1,11.0,"{""coordinates"":[-123.13011527,49.26274598],""type"":""Point""}",Fairview,"49.26274598, -123.13011527",0.09090908264462885,Vancouver
477362 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1216&street=W%2010TH%20AVENUE,1216,W 10TH AVENUE,3,8.0,"{""coordinates"":[-123.13190088,49.26225233],""type"":""Point""}",Fairview,"49.26225233, -123.13190088",0.3749999531250059,Vancouver
Forbes Apartments Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1240&street=W%2010TH%20AVENUE,1240,W 10TH AVENUE,1,41.0,"{""coordinates"":[-123.13263487,49.26226541],""type"":""Point""}",Fairview,"49.26226541, -123.13263487",0.024390243307555043,Vancouver
0971967 BC LTD,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1715&street=W%2011TH%20AVENUE,1715,W 11TH AVENUE,1,65.0,"{""coordinates"":[-123.14433299,49.2620539],""type"":""Point""}",Fairview,"49.2620539, -123.14433299",0.015384615147928998,Vancouver
Wing Yan Ting (Wing Ting),http://app.vancouver.ca/RPS_Net/Default.aspx?num=305&street=W%2012TH%20AVENUE,305,W 12TH AVENUE,1,5.0,"{""coordinates"":[-123.11131727,49.26061764],""type"":""Point""}",Mount Pleasant,"49.26061764, -123.11131727",0.199999960000008,Vancouver
1243813 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=500&street=W%2012TH%20AVENUE,500,W 12TH AVENUE,4,118.0,"{""coordinates"":[-123.11546241,49.26010361],""type"":""Point""}",Fairview,"49.26010361, -123.11546241",0.033898304797471995,Vancouver
Chow Yin Enterprises Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1088&street=W%2012TH%20AVENUE,1088,W 12TH AVENUE,1,65.0,"{""coordinates"":[-123.1288664,49.26032543],""type"":""Point""}",Fairview,"49.26032543, -123.1288664",0.015384615147928998,Vancouver
Hero Hartethorne Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1191&street=W%2012TH%20AVENUE,1191,W 12TH AVENUE,4,10.0,"{""coordinates"":[-123.13102302,49.2609198],""type"":""Point""}",Fairview,"49.2609198, -123.13102302",0.39999996000000404,Vancouver
Maria B Pressler (Maria Pressler),http://app.vancouver.ca/RPS_Net/Default.aspx?num=1936&street=W%2012TH%20AVENUE,1936,W 12TH AVENUE,1,5.0,"{""coordinates"":[-123.14913277,49.26065275],""type"":""Point""}",Kitsilano,"49.26065275, -123.14913277",0.199999960000008,Vancouver
111 Oakview Inc,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1020&street=W%2012TH%20AVENUE,1020,W 12TH AVENUE,2,26.0,"{""coordinates"":[-123.12761442,49.2603066],""type"":""Point""}",Fairview,"49.2603066, -123.12761442",0.07692307396449716,Vancouver
Gibson Sterling Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1507&street=W%2012TH%20AVENUE,1507,W 12TH AVENUE,1,32.0,"{""coordinates"":[-123.13908811,49.26098718],""type"":""Point""}",Fairview,"49.26098718, -123.13908811",0.031249999023437534,Vancouver
Huntington Enterprise Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1610&street=W%2012TH%20AVENUE,1610,W 12TH AVENUE,2,20.0,"{""coordinates"":[-123.14159515,49.26052445],""type"":""Point""}",Fairview,"49.26052445, -123.14159515",0.09999999500000024,Vancouver
Laurel Oak Holdings Inc,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1946&street=W%2012TH%20AVENUE,1946,W 12TH AVENUE,1,6.0,"{""coordinates"":[-123.1493339,49.26064891],""type"":""Point""}",Kitsilano,"49.26064891, -123.1493339",0.16666663888889352,Vancouver
Ka Yiu Yu & Shao Ping Yu,http://app.vancouver.ca/RPS_Net/Default.aspx?num=223&street=W%2013TH%20AVENUE,223,W 13TH AVENUE,4,6.0,"{""coordinates"":[-123.11021963,49.25962439],""type"":""Point""}",Mount Pleasant,"49.25962439, -123.11021963",0.6666665555555741,Vancouver
No 198 Cathedral Ventures Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1510&street=W%2013TH%20AVENUE,1510,W 13TH AVENUE,3,8.0,"{""coordinates"":[-123.13913134,49.25969973],""type"":""Point""}",Fairview,"49.25969973, -123.13913134",0.3749999531250059,Vancouver
1555 Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1555&street=W%2013TH%20AVENUE,1555,W 13TH AVENUE,4,9.0,"{""coordinates"":[-123.14009659,49.26010801],""type"":""Point""}",Fairview,"49.26010801, -123.14009659",0.44444439506173394,Vancouver
Moneyloi Properties Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1625&street=W%2013TH%20AVENUE,1625,W 13TH AVENUE,4,96.0,"{""coordinates"":[-123.14140669,49.26012485],""type"":""Point""}",Fairview,"49.26012485, -123.14140669",0.04166666623263889,Vancouver
