businessoperator,detailurl,streetnumber,street,totaloutstanding,totalunits,geom,geolocalarea,geo_point_2d,violation_rate,city
Helping Spirit Lodge Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=3989&street=DUMFRIES%20STREET,3989,DUMFRIES STREET,2,36.0,"{""coordinates"":[-123.07371806,49.24966055],""type"":""Point""}",Kensington-Cedar Cottage,"49.24966055, -123.07371806",0.05555555401234573,Vancouver
J 110 Freecorp Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=5626&street=DUNBAR%20STREET,5626,DUNBAR STREET,1,8.0,"{""coordinates"":[-123.18499035,49.23527137],""type"":""Point""}",Dunbar-Southlands,"49.23527137, -123.18499035",0.12499998437500197,Vancouver
1313 Ventures Inc,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2121&street=DUNDAS%20STREET,2121,DUNDAS STREET,3,35.0,"{""coordinates"":[-123.06098535,49.2850593],""type"":""Point""}",Grandview-Woodland,"49.2850593, -123.06098535",0.0857142832653062,Vancouver
Lookout Housing and Health Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=225&street=DUNLEVY%20AVENUE,225,DUNLEVY AVENUE,2,109.0,"{""coordinates"":[-123.0956261,49.28285515],""type"":""Point""}",Strathcona,"49.28285515, -123.0956261",0.018348623684875012,Vancouver
City of Vancouver,http://app.vancouver.ca/RPS_Net/Default.aspx?num=124&street=DUNLEVY%20AVENUE,124,DUNLEVY AVENUE,3,213.0,"{""coordinates"":[-123.0948261,49.28373962],""type"":""Point""}",Strathcona,"49.28373962, -123.0948261",0.014084506976129075,Vancouver
Atira Women's Resource Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=143&street=DUNLEVY%20AVENUE,143,DUNLEVY AVENUE,15,55.0,"{""coordinates"":[-123.0955126,49.28336116],""type"":""Point""}",Strathcona,"49.28336116, -123.0955126",0.2727272677685951,Vancouver
Lookout Housing and Health Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=188&street=E%201ST%20AVENUE,188,E 1ST AVENUE,5,129.0,"{""coordinates"":[-123.1011091,49.26985484],""type"":""Point""}",Mount Pleasant,"49.26985484, -123.1011091",0.03875968962201791,Vancouver
GLR PROPERTIES LTD,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1344&street=E%201ST%20AVENUE,1344,E 1ST AVENUE,2,30.0,"{""coordinates"":[-123.07661215,49.26938033],""type"":""Point""}",Grandview-Woodland,"49.26938033, -123.07661215",0.06666666444444451,Vancouver
Yin Wan Enterprises Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1421&street=E%202ND%20AVENUE,1421,E 2ND AVENUE,1,33.0,"{""coordinates"":[-123.07483703,49.26899957],""type"":""Point""}",Grandview-Woodland,"49.26899957, -123.07483703",0.030303029384756687,Vancouver
Albert Weisstock,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1545&street=E%204TH%20AVENUE,1545,E 4TH AVENUE,1,8.0,"{""coordinates"":[-123.07248681,49.26716005],""type"":""Point""}",Grandview-Woodland,"49.26716005, -123.07248681",0.12499998437500197,Vancouver
Jim Lee & Yu A Lee,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1722&street=E%204TH%20AVENUE,1722,E 4TH AVENUE,1,6.0,"{""coordinates"":[-123.06907305,49.26688213],""type"":""Point""}",Grandview-Woodland,"49.26688213, -123.06907305",0.16666663888889352,Vancouver
George & Miriam & Theresa Winkler,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1650&street=E%205TH%20AVENUE,1650,E 5TH AVENUE,1,56.0,"{""coordinates"":[-123.07146865,49.26573037],""type"":""Point""}",Grandview-Woodland,"49.26573037, -123.07146865",0.017857142538265314,Vancouver
Prang Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=525&street=E%205TH%20AVENUE,525,E 5TH AVENUE,2,41.0,"{""coordinates"":[-123.09199214,49.26643111],""type"":""Point""}",Mount Pleasant,"49.26643111, -123.09199214",0.048780486615110086,Vancouver
Quinta Strada Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1908&street=E%205TH%20AVENUE,1908,E 5TH AVENUE,1,7.0,"{""coordinates"":[-123.06560007,49.26567525],""type"":""Point""}",Grandview-Woodland,"49.26567525, -123.06560007",0.1428571224489825,Vancouver
